death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
the falconers: moonlight	The Falconers: Moonlight is a supernatural thriller visual novel set in the 19th Century West Coast of New Zealand. Falconer, Cassandra Winter, is on her first solo mission. Can she save the people of Moonlight from their plight? Or will she disappear into the mist like so many others before her?	['Adventure', 'Indie', 'Female Protagonist', 'Casual', 'Visual Novel', 'Story Rich', 'Action', 'Thriller', 'Supernatural', 'Multiple Endings', 'Anime']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']
flamebreak	Flamebreak is a roguelite action RPG featuring a unique blend of twinstick meets MOBA arena combat. Each procedurally generated run presents new challenges while your randomized hero's race, weapon, and skills inspire new playstyles and character builds.	['Action', 'Indie', 'RPG', 'Action Roguelike', 'Roguelite', 'Replay Value', 'Procedural Generation', 'Roguelike', 'Twin Stick Shooter', 'Top-Down']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
droid assault	Play Droid Assault and experience running blaster battles with hordes of rampaging killer robots! Discover a unique tactical arcade shooter, with the fun addictive gameplay of 8-bit classics. You'll need your wits and the help of your acquired droid squad to stay alive in this fast-paced retro actionfest.	['Action', 'Indie', 'Arcade', 'Shooter', 'Retro', 'Top-Down', 'Sci-fi', 'Local Co-Op', 'Top-Down Shooter', 'Robots', 'Pixel Graphics', '2D', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
march of the eagles	“he Who Fears Being Conquered Is Sure Of Defeat.”The war-game March of the Eagles focuses on the dramatic conflicts of Europe during 1805 to 1820. Explore one of the defining periods in European history with this experience crafted by the masters of Grand Strategy, Paradox Development Studio.	['Strategy', 'Simulation', 'Grand Strategy', 'Historical', 'Real-Time with Pause', 'Sandbox']	['Single-player', 'Steam Trading Cards']
tex murphy: the pandora directive	It's April 2043 and you- as Tex Murphy, the last of the old-style gumshoes- find yourself racing against time in the most dangerous game of your life. What is the truth behind the rumored UFO crash at Roswell, New Mexico? Why did the military suddenly shut down and seal off the Roswell complex?	['Adventure', 'FMV', 'Detective', 'Noir', 'Classic', 'Point & Click', 'Cyberpunk', 'Mystery', 'Cult Classic', 'Choices Matter', "1990's", 'Multiple Endings', 'Dystopian', 'Comedy', 'Exploration', 'Sci-fi', 'Post-apocalyptic', 'First-Person', 'Cinematic', 'Story Rich']	['Single-player']
the first templar 	Uncover the mysteries behind the Templar Order! Steam Exclusive Edition includes bonus mission “The Arena”.	['Action', 'Adventure', 'Medieval', 'Third Person', 'Hack and Slash', 'Co-op', 'RPG', 'Singleplayer', 'Local Co-Op', 'Multiplayer', 'Historical', 'Open World', 'Female Protagonist', 'Split Screen']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Remote Play Together']
pac-man championship edition dx+		[]	['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']
lords of chaos	Turn-based, tactical RPG where players command a powerful band of warriors.	['RPG', 'Strategy', 'Indie', 'Action', 'Violent', 'Gore', 'Turn-Based', 'Turn-Based Tactics', 'Turn-Based Strategy', 'Dark Fantasy', 'Turn-Based Combat', 'Tactical RPG', 'Dungeon Crawler', 'Magic', 'Medieval', 'Swordplay', 'Strategy RPG', 'Realistic']	['Single-player']
game over	Embark on a thrilling pixel art adventure with Detective Guy & Cleo as they solve a mysterious murder. Explore an eerie seaside village, search for clues, interview suspects, and unravel the truth in this whodunit mystery.	['Exploration', 'Side Scroller', 'Hidden Object', 'Interactive Fiction', 'Visual Novel', 'Point & Click', 'Walking Simulator', '2D', 'Detective', 'Horror', 'Choices Matter', 'Controller', 'Linear', 'Story Rich', 'Historical', 'Cartoony', 'Pixel Graphics', 'Dog', 'Logic', 'Atmospheric']	['Single-player', 'Partial Controller Support']
mx nitro	MX Nitro: Unleashed invites you to blaze into motocross racing nirvana. The game expands upon the original MX Nitro with new tracks, new bosses, and new outfits! The game also includes several improvements from the original including improved visuals.	['Racing', 'Sports', 'Simulation', 'Motorbike', 'Motocross', 'Arcade', '2.5D']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']
super mutant alien assault	The Citizen Kane of Super Crate Box clones - dance with death through randomised rooms to clear your space freighter of irradiated aliens in a brutal arcade platformer shooter stuffed to the brim with unlockable weapons, explosives, special abilities and defense moves.	['Action', 'Action Roguelike', 'Indie', 'Pixel Graphics', 'Platformer', 'Local Co-Op', '2D', 'Space', 'Arcade', 'Shooter', 'Aliens', 'Retro', 'Difficult', 'Atmospheric', 'Futuristic', 'Roguelike']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
pro cycling manager 2014	Take on the role of manager and lead one of the pro cycling circuit's 75 teams. Join an outstanding 2014 season with more than 200 competitions across 550 stages including the prestigious Tour de France.	['Simulation', 'Sports', 'Cycling', 'Management', 'Adventure']	['Single-player']
dead man's draw	Dead Man’s Draw is a simple and strategic game of luck and skill that boils down strategy gameplay into a single, tense decision.	['Card Battler', 'Casual', 'PvE', 'Turn-Based', 'Card Game', 'Strategy', '2D', 'Turn-Based Tactics', 'Deckbuilding', 'Stylized', 'Hand-drawn', 'Pirates', 'Family Friendly', 'Singleplayer', 'Indie', 'Addictive', 'Mouse only', 'Classic', 'Fast-Paced', 'Great Soundtrack']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
demetrios - the big cynical adventure	The Journey of an Idiot. 8 to 12 hours of fun!	['Adventure', 'Point & Click', 'Indie', 'Comedy', 'Hidden Object', '2D', 'Funny', 'Mystery', 'Casual', 'Great Soundtrack', 'Story Rich', 'Cartoony', 'Music', 'Exploration', 'Puzzle', 'Visual Novel', 'Atmospheric', 'Dark Humor', 'Singleplayer', 'Choose Your Own Adventure']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
pengy	Very dynamic arcade game with many different types of blocks, enemies, and power-ups. Play as a cute penguin that jumps out of the plane and smashes his enemies with basketballs, fire balls, acid balls, explosive balls, and boomerangs.	['Casual', 'Indie', 'Arcade', 'Funny', 'Old School', 'Character Customization', '2D', 'Cute', 'Family Friendly', 'Retro', 'Controller', 'Singleplayer', 'Action', 'Flight', 'Gore', 'Shooter', 'Simulation']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']
cowbots	Cowbots and Aliens is a furious PvP Multiplayer VR brawl set in the Saloon-iverse! Free movement, laser precise gunplay, multiple competitive modes and a custom networked physics system that lets you use EVERYTHING as a weapon makes for an immensely satisfying VR ruckus!	['Early Access', 'Multiplayer', 'FPS', 'PvP', 'Competitive', 'Shooter', 'eSports', 'Arcade', 'Character Customization', 'First-Person', 'VR', 'Action', 'Casual', 'Cartoony', 'Colorful', 'Western', 'Physics', 'Adventure', '6DOF', 'Combat']	['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Tracked Controller Support', 'VR Supported']
cultures - 8th wonder of the world	Solve the mystery surrounding the 8th Wonder of the World with your heroes and banish evil from the Earth! Play this RTS-Classic.	['Strategy', 'City Builder', 'RTS', 'Vikings', 'Economy', 'Simulation', 'Singleplayer', 'Management']	['Single-player']
ballpoint universe	Ballpoint Universe Infinite is a shoot-em-up adventure game featuring artwork entirely drawn in ballpoint pen. Explore immaculate worlds, discover the secrets of the doodles, and customize your Ink-Ship for battle! Press"Ballpoint Universe Infinite is too exuberant to ignore.	['Indie', 'Action', "Shoot 'Em Up", 'Hand-drawn', 'Platformer', 'Side Scroller', 'Singleplayer', 'Shooter']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards']
ticket to earth	Ticket to Earth fuses battlefield tactics, tile-matching puzzle, and epic sci-fi RPG in one unique package. Four unlikely heroes are thrown together to save everything they love from murderous criminals, hideous mutants, and a corrupt government.	['Strategy', 'Indie', 'RPG', 'LGBTQ+', 'Puzzle', 'Turn-Based']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
the tale of a common man	Undefeated's devs are back with a bigger, better tale of a man seeking revenge for the cruel murders of his wife and son. Can Jerrat achieve his aim without ceasing to be the man his wife loved? Find out in this great 16-bit style RPG, where the tale of a common man intertwines with the destiny of a nation.	['RPG', 'RPGMaker', 'Indie', 'Casual', 'Adventure', 'Anime', 'Female Protagonist', 'Exploration', 'Strategy', 'Replay Value', 'Fantasy']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
azada	Trapped in a magical puzzle book, the adventurous Titus needs your help to release him from his spell. To do this, you must solve the tricky puzzles of Azada™. Crack the series of puzzles and fill in the missing pages of the enchanted book to free Titus from his prison. Loads of unique puzzles to solve.	['Casual', 'Indie', 'Puzzle', 'Hidden Object']	['Single-player']
cat on a diet	Swipe and prod to claw away at wooden blocks, unscrew bolts, control powerful magnets and explode highly volatile uranium – anything to reach those cookies!	['Cats', 'Casual', 'Indie', 'Action', 'Puzzle', 'Physics', 'Funny']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
holoball	HoloBall plunges players into an action-sports arcade arena inspired by one of the most iconic games of all time. Use your paddles to hit, smash and curve the HoloBall past your opponent to score. Learn and master skillshots to outmatch your increasingly difficult opponents.	['Action', 'Sports', 'Indie', 'VR']	['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
iron lord	In this Steam Punk adventure quest the player will need to sneak into the citadel of cruel Iron Lord and rid invaded land of Namariel from tyrant after escaping from air prison, revealing the secret of Iron Lord and rescuing the legitimate King and Queen of Namariel.	['Adventure', 'Casual', 'Indie', 'Point & Click', 'Hidden Object', 'Steampunk']	['Single-player']
123 slaughter me street	Welcome everyone to 123 Slaughter Me Street! A criminal on the run, you find yourself evading police as you make your escape down an alley. You see an old fire escape and scramble up to the roof of an abandoned building; you are safe here. As the patrol cars drive past, you slip into the shadows.	['Horror', 'Indie', 'Action', 'Singleplayer', 'First-Person', 'Jump Scare']	['Single-player', 'Partial Controller Support']
colors!	Colors! Maze is a minimalist casual game of easy mazes with relaxing music.	['Colorful', 'Relaxing', 'Minimalist', 'Atmospheric', 'Puzzle', 'Pixel Graphics', 'Linear', 'Abstract', 'Stylized', 'Quick-Time Events', 'Idler', 'Logic', 'Family Friendly', 'Sandbox', 'Choices Matter', 'Difficult', '2D', 'Casual', 'Indie', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']
frederic: resurrection of music	New version of cult game with new levels and exclusive Steam online multiplayer! Frederic Chopin – a long time deceased classical compositor – returns back from beyond the grave to fight intense musical duels. In his way stand some of the worlds greatest pop stars charmed with enormous profits that wild commercialization provides	['Indie', 'Action', 'Casual', 'Great Soundtrack', 'Music', 'Comedy', 'Rhythm', 'Multiplayer']	['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
sportsfriends	Sportsfriends is a compendium of award-winning local multiplayer games. Featuring: retro-styled fighting in BaraBariBall, QWOP-like pole dueling in Super Pole Riders, high-velocity passing in Hokra, and, on Mac and Linux, face-to-face sparring in Johann Sebastian Joust.	['Indie', 'Sports', 'Local Multiplayer', '4 Player Local', 'Party']	['Full controller support', 'Includes level editor', 'Remote Play on TV']
next life	An online multiplayer game of crafting, survival, civilization building, and player collaboration. Start in the stone age and live, build, and invent your way to higher civilization. Live and die as well as you can, to gain the experience you need to achieve even more in your next life!	['Early Access', 'Crafting', 'Multiplayer', 'Survival', 'Simulation', 'Online Co-Op', 'Base Building', 'Adventure', 'MMORPG', 'Open World', 'Cooking', 'PvE', 'Cartoony', 'RPG', '2.5D', 'Building', 'Life Sim', 'Sandbox', 'Colorful', 'Cute']	['MMO', 'Online Co-op', 'Cross-Platform Multiplayer']
table tennis	Power-Ups, Explosions, and Upgrades make PyroSlam the ultimate VR Table Tennis experience. Compete against players across the globe in ranked online multiplayer or battle a slew of unique AI bosses. Meticulously precise physics make every shot feel like the real deal.	['Sports', 'Action', 'VR', 'PvP', 'Multiplayer', 'Simulation', 'Tennis', 'Physics', 'Funny', '3D', 'Early Access', 'Indie', 'Colorful', 'First-Person', 'Character Customization', 'Artificial Intelligence', 'Singleplayer']	['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Tracked Controller Support', 'VR Only']
super panda adventures	In Super Panda Adventures, you play as the brave panda-knight Fu, who is about to finish his training to become the new guardian of the Princess. At the same day of the big celebration party, some uninvited Robots show up to conquer the planet and take the Princess away in their Space Ships!	['Platformer', 'Indie', 'Metroidvania', 'Action', 'Adventure', 'Cute', 'RPG', '2D', 'Singleplayer', 'Great Soundtrack', 'Pixel Graphics', 'Retro']	['Single-player', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']
metahuman inc.	As the CEO of a corporation that sells superpowers to the highest bidder, you'll harness dark magic and travel through time to inflate your stock prices!	['Indie', 'RPG', 'Text-Based', 'Choose Your Own Adventure']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
